,news,date,clean_text,0,1,2
0,Business,2018-08-13,"['stock', 'close', 'low', 'turkey', 'currency', 'crisis', 'dampen', 'risk', 'appetite', 'turkey', 'rattle', 'market', 'stock', 'close', 'low', 'monday', 'dow', 'jones', 'industrial', 'average', 'fourth', 'straight', 'session', 'ongoing', 'turmoil', 'turkey', 'dampen', 'investor', 'appetite', 'risky', 'asset', 'direct', 'economic', 'exposure', 'country', 'instability', 'region', 'spark', 'concern', 'problem', 'spill', 'part', 'world', 'exacerbate', 'uncertainty', 'surround', 'trade', 'relation', 'major', 'trading', 'partner', 'benchmark', 'fare', 'dow', 'jones', 'industrial', 'average', 'djia', 'shed', 'point', 'spx', 'fell', 'point', 'energy', 'material', 'sector', 'big', 'loser', 'nasdaq', 'composite', 'index', 'comp', 'wove', 'negative', 'territory', 'day', 'finish', 'point', 'drove', 'market', 'investor', 'continue', 'closely', 'monitor', 'development', 'turkey', 'turkish', 'central', 'bank', 'pledge', 'statement', 'monday', 'provide', 'liquidity', 'bank', 'need', 'bank', 'able', 'borrow', 'foreign', 'exchange', 'deposit', 'central', 'bank', 'month', 'week', 'maturity', 'analyst', 'turkey', 'reluctance', 'raise', 'interest', 'rate', 'stand', 'event', 'fail', 'curb', 'concern', 'possible', 'contagion', 'turkey', 'currency', 'crisis', 'market', 'participant', 'fret', 'tumble', 'lira', 'usdtry', 'ripple', 'financial', 'market', 'hurt', 'emerge', 'market', 'economy', 'concern', 'remain', 'exposure', 'european', 'bank', 'weaken', 'lira', 'turkish', 'lira', 'extend', 'slide', 'dollar', 'buy', 'lira', 'compare', 'lira', 'late', 'friday', 'decline', 'currency', 'double', 'digit', 'plunge', 'friday', 'lira', 'low', 'dollar', 'buy', 'lira', 'read', 'strategist', 'way', 'turkey', 'currency', 'crisis', 'miss', 'go', 'trade', 'go', 'stock', 'market', 'goldman', 'warns', 'market', 'participant', 'go', 'roll', 'crisis', 'phase', 'market', 'stretch', 'term', 'nerve', 'headline', 'risk', 'source', 'investor', 'angst', 'turkey', 'significant', 'risk', 'investor', 'worry', 'headline', 'risk', 'go', 'tom', 'stringfellow', 'oversees', 'billion', 'chief', 'investment', 'officer', 'frost', 'investment', 'advisor', 'line', 'volatility', 'see', 'overseas', 'currency', 'market', 'change', 'immediate', 'picture', 'stock', 'market', 'market', 'continue', 'drive', 'improve', 'economic', 'condition', 'underscored', 'report', 'week', 'show', 'confidence', 'small', 'business', 'time', 'record', 'high', 'bodes', 'continue', 'strength', 'labor', 'market', 'bruce', 'bittles', 'chief', 'investment', 'strategist', 'baird', 'note', 'large', 'negative', 'horizon', 'reluctance', 'china', 'tariff', 'threat', 'eventually', 'lead', 'slow', 'global', 'economic', 'growth', 'stock', 'focus', 'sysco', 'corp', 'syy', 'jump', 'report', 'fourth', 'quarter', 'result', 'top', 'expectation', 'twitter', 'inc', 'twtr', 'gain', 'citron', 'research', 'issue', 'positive', 'social', 'medium', 'company', 'set', 'price', 'target', 'hologic', 'inc', 'holx', 'slump', 'cynosure', 'division', 'suspend', 'marketing', 'distribution', 'vitalia', 'tempsure', 'device', 'heat', 'vaginal', 'tissue', 'dycom', 'industry', 'inc', 'dy', 'plummet', 'cut', 'second', 'quarter', 'profit', 'sale', 'outlook', 'market', 'european', 'stock', 'retreat', 'unison', 'asian', 'market', 'low', 'board', 'region', 'view', 'vulnerable', 'turkey', 'financial', 'problem', 'read', 'turkey', 'currency', 'crisis', 'underline', 'europe', 'banking', 'woe', 'turkish', 'lira', 'crisis', 'send', 'shock', 'wave', 'emerge', 'market', 'fund', 'gold', 'gcz', 'settle', 'sharply', 'low', 'drop', 'low', 'crude', 'oil', 'price', 'clk', 'fell', 'dollar', 'index', 'dxy', 'flat', 'follow', 'straight', 'day', 'gain', 'mark', 'decambre', 'contribute', 'report', 'provide', 'critical', 'information', 'trading', 'day', 'subscribe', 'marketwatch', 'free', 'need', 'know', 'newsletter', 'sign', 'driverless', 'car', 'lead', 'sex', 'car', 'study', 'find', 'early', 'retirement', 'movement', 'hater', 'cruise', 'beloved', 'line', 'right']",0.22036957740783691,0.20070785284042358,0.5789225697517395
1,Politics,2018-11-02,"['political', 'money', 'state', 'level', 'campaign', 'exceed', 'billion', 'analysis', 'find', 'stake', 'control', 'governor', 'office', 'legislative', 'chamber', 'state', 'political', 'money', 'state', 'level', 'campaign', 'exceed', 'billion', 'analysis', 'find', 'combination', 'oct', 'file', 'photo', 'florida', 'democratic', 'gubernatorial', 'candidate', 'andrew', 'gillum', 'leave', 'florida', 'republican', 'gubernatorial', 'candidate', 'ron', 'desantis', 'speak', 'cnn', 'debate', 'tampa', 'fla', 'race', 'governor', 'legislative', 'seat', 'state', 'level', 'office', 'attract', 'billion', 'campaign', 'contribution', 'nearly', 'matches', 'contribution', 'congressional', 'election', 'high', 'profile', 'political', 'event', 'state', 'report', 'contribution', 'candidate', 'order', 'illinois', 'california', 'texas', 'florida', 'new', 'york', 'georgia', 'pennsylvania', 'poll', 'consistently', 'show', 'tight', 'race', 'florida', 'desantis', 'loyalist', 'president', 'donald', 'trump', 'tallahassee', 'mayor', 'gillum', 'story', 'money', 'politics', 'stop', 'spending', 'race', 'congress', 'candidate', 'governor', 'legislature', 'state', 'office', 'bring', 'billion', 'campaign', 'contribution', 'nearly', 'match', 'combine', 'total', 'billion', 'candidate', 'house', 'senate', 'make', 'expensive', 'state', 'level', 'politics', 'total', 'grow', 'final', 'stretch', 'tuesday', 'election', 'stake', 'control', 'governor', 'office', 'legislative', 'chamber', 'state', 'ag', 'barr', 'think', 'spy', 'occur', 'trump', 'campaign', 'natl', 'ag', 'barr', 'think', 'spy', 'occur', 'trump', 'campaign', 'attorney', 'general', 'william', 'barr', 'ask', 'team', 'look', 'fbi', 'open', 'investigation', 'russian', 'interference', 'election', 'think', 'spy', 'occur', 'trump', 'campaign', 'question', 'adequately', 'predicate', 'publish', 'wednesday', 'april', 'activist', 'state', 'election', 'good', 'investment', 'money', 'influence', 'congressional', 'race', 'upstart', 'organization', 'flippable', 'raise', 'million', 'democratic', 'state', 'legislative', 'candidate', 'state', 'chief', 'executive', 'catherine', 'vaughan', 'point', 'legislative', 'campaign', 'cost', 'average', 'compare', 'million', 'congressional', 'race', 'associated', 'press', 'analysis', 'campaign', 'finance', 'data', 'collect', 'national', 'institute', 'money', 'politics', 'federal', 'election', 'commission', 'irs', 'show', 'state', 'level', 'money', 'go', 'state', 'report', 'contribution', 'candidate', 'order', 'illinois', 'california', 'texas', 'florida', 'new', 'york', 'georgia', 'pennsylvania', 'happen', 'state', 'large', 'population', 'necessarily', 'competitive', 'state', 'level', 'race', 'donor', 'contribute', 'million', 'support', 'oppose', 'ballot', 'initiative', 'democrat', 'spend', 'federal', 'election', 'state', 'level', 'election', 'thursday', 'report', 'process', 'national', 'institute', 'money', 'politics', 'party', 'bring', 'billion', 'slight', 'edge', 'gop', 'nonpartisan', 'party', 'candidate', 'raise', 'million', 'news', 'photo', 'notre', 'dame', 'char', 'stand', 'natl', 'news', 'photo', 'notre', 'dame', 'char', 'stand', 'christophe', 'morin', 'bloomberg', 'getty', 'image', 'money', 'race', 'state', 'state', 'basis', 'republicans', 'run', 'legislature', 'raise', 'million', 'democrat', 'million', 'surprise', 'wyoming', 'republican', 'raise', 'time', 'democrat', 'massachusetts', 'democrat', 'nearly', 'big', 'advantage', 'lopsided', 'funding', 'competitive', 'state', 'republican', 'legislative', 'candidate', 'bring', 'twice', 'democrat', 'florida', 'colorado', 'democrat', 'fundraising', 'advantage', 'expensive', 'race', 'illinois', 'second', 'expensive', 'race', 'governor', 'record', 'million', 'far', 'second', 'costliest', 'governor', 'race', 'florida', 'costly', 'race', 'governor', 'record', 'poll', 'consistently', 'show', 'tight', 'race', 'florida', 'rep', 'ron', 'desantis', 'loyalist', 'president', 'donald', 'trump', 'tallahassee', 'mayor', 'andrew', 'gillum', 'illinois', 'nearly', 'percent', 'contribution', 'come', 'wealthy', 'investor', 'democratic', 'challenger', 'pritzker', 'lead', 'poll', 'million', 'money', 'race', 'white', 'nationalism', 'fuel', 'social', 'medium', 'global', 'rise', 'natl', 'white', 'nationalism', 'fuel', 'social', 'medium', 'rise', 'global', 'scale', 'hate', 'speech', 'vitriol', 'microscope', 'capitol', 'hill', 'tuesday', 'center', 'house', 'judiciary', 'hear', 'white', 'nationalism', 'internet', 'analyst', 'white', 'nationalism', 'rise', 'country', 'world', 'publish', 'wednesday', 'april', 'republican', 'incumbent', 'bruce', 'rauner', 'spend', 'million', 'citadel', 'founder', 'ken', 'griffin', 'kick', 'million', 'support', 'rauner', 'expensive', 'state', 'legislative', 'race', 'state', 'senate', 'seat', 'north', 'texas', 'cost', 'million', 'far', 'nearly', 'half', 'total', 'phillip', 'huffines', 'self', 'finance', 'lose', 'republican', 'primary', 'campaign', 'expensive', 'legislative', 'race', 'competitive', 'general', 'election', 'th', 'senate', 'district', 'central', 'california', 'democrat', 'anna', 'caballero', 'republican', 'rob', 'poythress', 'raise', 'million', 'list', 'large', 'contributor', 'state', 'level', 'election', 'dominate', 'self', 'funded', 'candidate', 'candidate', 'run', 'governor', 'spend', 'million', 'addition', 'illinois', 'jar', 'polis', 'colorado', 'democrat', 'primary', 'list', 'big', 'organizational', 'contributor', 'dominate', 'labor', 'group', 'spread', 'money', 'variety', 'candidate', 'exclusively', 'democrats', 'union', 'represent', 'laborer', 'educator', 'service', 'worker', 'plumber', 'include', 'regional', 'affiliate', 'contribute', 'million', 'realtor', 'association', 'contribute', 'million', 'majority', 'republican', 'attorney', 'general', 'mueller', 'report', 'ready', 'release', 'week', 'natl', 'attorney', 'general', 'mueller', 'report', 'ready', 'release', 'week', 'attorney', 'general', 'william', 'barr', 'take', 'question', 'special', 'counsel', 'robert', 'mueller', 'russia', 'report', 'appearance', 'house', 'appropriation', 'subcommittee', 'barr', 'answer', 'white', 'house', 'see', 'brief', 'mueller', 'report', 'publish', 'tuesday', 'april', 'state', 'limit', 'contributor', 'candidate', 'political', 'group', 'company', 'charity', 'individual', 'restriction', 'spend', 'case', 'spend', 'disclose', 'identity', 'donor', 'state', 'report', 'spend', 'catch', 'generally', 'allow', 'coordinate', 'candidate', 'official', 'campaign', 'report', 'spend', 'national', 'party', 'affiliate', 'organization', 'arm', 'work', 'campaign', 'republican', 'group', 'try', 'elect', 'partisan', 'governor', 'office', 'legislatures', 'position', 'state', 'attorney', 'general', 'edge', 'democrats', 'corporation', 'major', 'contributor', 'group', 'side', 'filing', 'republican', 'governor', 'association', 'month', 'raise', 'million', 'start', 'september', 'democratic', 'governor', 'association', 'bring', 'million', 'oct', 'use', 'money', 'fund', 'ad', 'attack', 'opponent', 'group', 'key', 'party', 'attempt', 'win', 'state', 'legislative', 'seat', 'spend', 'big', 'cycle', 'trump', 'purge', 'homeland', 'security', 'dept', 'nielsen', 'ouster', 'natl', 'trump', 'purge', 'homeland', 'security', 'leadership', 'follow', 'nielsen', 'ouster', 'frustrate', 'situation', 'southern', 'border', 'president', 'trump', 'purge', 'leadership', 'department', 'homeland', 'security', 'immigration', 'agenda', 'easy', 'enact', 'leadership', 'void', 'administration', 'continue', 'grow', 'publish', 'tuesday', 'april', 'republican', 'state', 'leadership', 'committee', 'raise', 'million', 'september', 'expect', 'spend', 'million', 'counterpart', 'democratic', 'legislative', 'campaign', 'committee', 'bring', 'million', 'october', 'record', 'group', 'effort', 'bolster', 'organization', 'similar', 'goal', 'handful', 'wealthy', 'individual', 'fund', 'organization', 'spend', 'politics', 'country', 'industrialist', 'brother', 'charles', 'david', 'koch', 'conservative', 'major', 'player', 'group', 'organization', 'include', 'american', 'prosperity', 'impossible', 'tell', 'campaign', 'finance', 'filing', 'spend', 'american', 'prosperity', 'spokeswoman', 'network', 'plan', 'total', 'million', 'state', 'federal', 'political', 'effort', 'decline', 'break', 'state', 'race', 'tom', 'steyer', 'san', 'francisco', 'liberal', 'call', 'impeach', 'trump', 'announce', 'contribution', 'total', 'million', 'support', 'florida', 'gillum', 'include', 'million', 'direct', 'contribution', 'political', 'action', 'committee', 'support', 'gillum', 'steyer', 'group', 'nextgen', 'climate', 'america', 'direct', 'mail', 'piece', 'send', 'steyer', 'group', 'need', 'impeach', 'kirstjen', 'nielsen', 'dept', 'homeland', 'security', 'secretary', 'natl', 'kirstjen', 'nielsen', 'dept', 'homeland', 'security', 'secretary', 'kirstjin', 'nielsen', 'resign', 'secretary', 'department', 'homeland', 'security', 'sunday', 'mark', 'end', 'controversial', 'era', 'helm', 'department', 'oversee', 'migrant', 'family', 'separate', 'border', 'rise', 'number', 'apprehension', 'mexico', 'border', 'nielsen', 'hold', 'post', 'december']",0.3264498710632324,0.42006179690361023,0.25348836183547974
2,Politics,2019-03-29,"['independent', 'group', 'mps', 'political', 'party', 'heidi', 'allen', 'gavin', 'shukerpa', 'heidi', 'allen', 'group', 'hop', 'attract', 'candidate', 'walk', 'life', 'independent', 'group', 'tig', 'mp', 'apply', 'political', 'party', 'european', 'election', 'ahead', 'group', 'intend', 'change', 'uk', 'name', 'heidi', 'allen', 'interim', 'leader', 'government', 'warn', 'eu', 'withdrawal', 'agreement', 'approve', 'later', 'uk', 'risk', 'european', 'parliament', 'poll', 'tig', 'field', 'substantial', 'number', 'candidate', 'happen', 'group', 'choice', 'cause', 'controversy', 'petition', 'website', 'change', 'org', 'understood', 'consider', 'legal', 'action', 'company', 'million', 'user', 'uk', 'understood', 'contact', 'election', 'watchdog', 'amid', 'concern', 'independent', 'group', 'try', 'harness', 'profile', 'support', 'deliberately', 'choose', 'similar', 'independent', 'group', 'want', 'independent', 'group', 'currently', 'labour', 'ex', 'tory', 'mp', 'applied', 'register', 'political', 'party', 'time', 'poll', 'change', 'uk', 'independent', 'group', 'mp', 'reject', 'term', 'uk', 'withdrawal', 'time', 'later', 'uk', 'april', 'come', 'alternative', 'way', 'forward', 'brexit', 'scenario', 'think', 'eu', 'leader', 'insist', 'long', 'delay', 'uk', 'departure', 'involve', 'uk', 'candidate', 'european', 'election', 'election', 'watchdog', 'approve', 'application', 'poll', 'ahead', 'field', 'substantial', 'number', 'candidate', 'background', 'outside', 'politics', 'try', 'shake', 'party', 'system', 'ms', 'allen', 'conservative', 'mp', 'tell', 'bbc', 'european', 'election', 'weathervane', 'moment', 'country', 'proxy', 'referendum', 'real', 'opportunity', 'country', 'cry', 'lead', 'stay', 'claim', 'enormous', 'support', 'new', 'political', 'movement', 'underestimate', 'challenge', 'involve', 'david', 'goliath', 'stuff', 'literally', 'start', 'build', 'party', 'squabble', 'appointment', 'interim', 'leader', 'felt', 'nice', 'fit', 'role', 'alongside', 'chuka', 'umunna', 'act', 'group', 'principal', 'spokesman', 'group', 'elect', 'permanent', 'leader', 'party', 'conference', 'september', 'mp', 'group', 'include', 'mike', 'gape', 'chuka', 'umunna', 'anna', 'soubry', 'sarah', 'wollaston', 'continue', 'current', 'role', 'parliament', 'mr', 'public', 'find', 'take', 'european', 'election', 'unacceptable', 'appeal', 'mp', 'support', 'agreement', 'ensure', 'uk', 'able', 'leave', 'eu', 'orderly', 'fashion']",0.3053804636001587,0.2805193364620209,0.4141002297401428
3,Sports,2018-08-01,"['european', 'sport', 'championship', 'launch', 'new', 'spectacle', 'sport', 'mark', 'woodswed', 'aug', 'edt', 'athletics', 'take', 'bill', 'inaugural', 'day', 'jamboree', 'begin', 'glasgow', 'back', 'seven', 'federation', 'inaugural', 'european', 'sport', 'championship', 'begin', 'glasgow', 'thursday', 'conclude', 'berlin', 'day', 'later', 'composite', 'rex', 'getty', 'pa', 'neat', 'trick', 'involve', 'sleight', 'hand', 'perform', 'eye', 'illusionists', 'trust', 'marvel', 'spectacle', 'beg', 'european', 'sport', 'championship', 'begin', 'glasgow', 'thursday', 'conclude', 'berlin', 'day', 'later', 'sport', 'stack', 'continental', 'showpiece', 'single', 'deck', 'allow', 'organiser', 'television', 'producer', 'shuffle', 'card', 'game', 'trump', 'athletics', 'berlin', 'swim', 'cycle', 'gymnastics', 'glasgow', 'dive', 'edinburgh', 'row', 'triathlon', 'place', 'country', 'park', 'motherwell', 'oh', 'golf', 'gleneagles', 'package', 'time', 'offer', 'world', 'key', 'thing', 'create', 'broad', 'appeal', 'stand', 'championship', 'co', 'founder', 'director', 'paul', 'bristow', 'lack', 'general', 'cut', 'public', 'transform', 'appeal', 'dedicate', 'fan', 'sport', 'cycling', 'fan', 'know', 'track', 'cycle', 'championship', 'place', 'find', 'tv', 'guide', 'casual', 'sport', 'fan', 'know', 'winner', 'know', 'olympic', 'game', 'commonwealth', 'game', 'athlete', 'sport', 'come', 'life', 'personality', 'people', 'realise', 'phenomenal', 'achievement', 'felt', 'best', 'million', 'people', 'planet', 'need', 'properly', 'recognise', 'reasonable', 'ambition', 'persuade', 'bbc', 'carve', 'hour', 'day', 'dart', 'venue', 'promise', 'co', 'ordinate', 'timetable', 'concoct', 'seamless', 'stream', 'highlight', 'tv', 'viewer', 'bristow', 'matter', 'metres', 'velodrome', 'track', 'kilometres', 'europe', 'swiss', 'sprinter', 'bar', 'far', 'right', 'message', 'feel', 'engage', 'prospect', 'poorly', 'receive', 'european', 'game', 'barely', 'engineer', 'ripple', 'baku', 'quality', 'vary', 'athletics', 'gymnastics', 'swim', 'focal', 'point', 'calendar', 'track', 'outdoor', 'element', 'cycle', 'bring', 'sufficient', 'stardust', 'row', 'tough', 'sell', 'triathlon', 'european', 'showpiece', 'rarely', 'lure', 'leading', 'light', 'golf', 'mixed', 'team', 'format', 'inject', 'novelty', 'factor', 'great', 'britain', 'callum', 'shinkwin', 'world', 'high', 'rank', 'male', 'suggests', 'prize', 'covet', 'action', 'uspga', 'championship', 'ultimately', 'come', 'eyeball', 'research', 'european', 'broadcasting', 'union', 'indicate', 'aggregate', 'sport', 'olympics', 'public', 'persuade', 'tune', 'pebble', 'gems', 'athletics', 'championship', 'long', 'history', 'right', 'feel', 'supercharge', 'effect', 'berlin', 'european', 'athletics', 'head', 'communication', 'james', 'mulligan', 'cyclist', 'see', 'practice', 'session', 'sir', 'chris', 'hoy', 'velodrome', 'wednesday', 'photograph', 'ian', 'macnicol', 'getty', 'image', 'see', 'fragmentation', 'tv', 'channel', 'eat', 'away', 'viewership', 'sustain', 'place', 'bbc', 'ard', 'france', 'vision', 'mean', 'berlin', 'glasgow', 'major', 'event', 'treatment', 'good', 'good', 'athlete', 'cost', 'concept', 'cent', 'price', 'olympiad', 'attract', 'host', 'glasgow', 'spent', 'relatively', 'inexpensive', 'mean', 'obtain', 'return', 'sumptuous', 'investment', 'commonwealth', 'game', 'affordable', 'multisport', 'event', 'cent', 'athlete', 'olympics', 'bristow', 'achieve', 'firstly', 'sport', 'programme', 'big', 'sustainable', 'athlete', 'village', 'hotel', 'student', 'accommodation', 'exist', 'facility', 'white', 'elephant', 'gather', 'dust', 'london', 'source', 'pass', 'stag', 'championship', 'city', 'region', 'wander', 'week', 'evaluate', 'woo', 'find', 'track', 'field', 'berlin', 'olympiastadion', 'inevitably', 'shift', 'seat', 'dozen', 'interest', 'north', 'sea', 'patchy', 'gymnastics', 'sell', 'glasgow', 'cycling', 'sport', 'little', 'time', 'bristow', 'rabbit', 'leap', 'wholly', 'hat', 'look', 'event', 'start', 'past', 'rugby', 'world', 'cup', 'know', 'happen', 'champion', 'league', 'need', 'work', 'start', 'take', 'people', 'know', 'cricket', 'world', 'cup', 'edition', 'level', 'realistic', 'event', 'grow', 'time', 'people', 'like', 'hit', 'screen', 'small', 'favour', 'ask', 'people', 'read', 'support', 'independent', 'investigative', 'reporting', 'unlike', 'news', 'organisation', 'choose', 'approach', 'allow', 'journalism', 'accessible', 'regardless', 'live', 'afford', 'guardian', 'editorially', 'independent', 'meaning', 'set', 'agenda', 'journalism', 'free', 'commercial', 'bias', 'influence', 'billionaire', 'owner', 'politician', 'shareholder', 'edits', 'editor', 'steer', 'opinion', 'important', 'enables', 'voice', 'heard', 'challenge', 'powerful', 'hold', 'account', 'make', 'different', 'medium', 'time', 'factual', 'honest', 'reporting', 'critical', 'contribution', 'receive', 'reader', 'like', 'big', 'small', 'go', 'directly', 'funding', 'journalism', 'support', 'enable', 'work', 'maintain', 'build', 'come', 'support', 'guardian', 'little', 'take', 'minute', 'thank']",0.2821580767631531,0.3697521984577179,0.3480897545814514
4,Sports,2018-09-19,"['maverick', 'workplace', 'misconduct', 'report', 'cuban', 'donate', 'million', 'si', 'com', 'maverick', 'owner', 'mark', 'cuban', 'agree', 'nba', 'donate', 'million', 'organization', 'promote', 'woman', 'leadership', 'roles', 'combat', 'domestic', 'violence', 'result', 'independent', 'investigation', 'workplace', 'misconduct', 'franchise', 'league', 'announce', 'adrian', 'wojnarowksi', 'espn', 'com', 'report', 'news', 'max', 'fine', 'nba', 'million', 'wednesday', 'league', 'release', 'finding', 'independent', 'investigation', 'sexual', 'harassment', 'workplace', 'misconduct', 'team', 'office', 'anne', 'milgram', 'evan', 'krutoy', 'krutoy', 'law', 'hire', 'maverick', 'investigation', 'suggest', 'team', 'increase', 'number', 'woman', 'staff', 'include', 'leadership', 'position', 'enhance', 'formal', 'reporting', 'process', 'victim', 'misconduct', 'implement', 'regular', 'anonymous', 'employee', 'survey', 'evaluate', 'workplace', 'culture', 'expand', 'improve', 'maverick', 'human', 'resource', 'department', 'institute', 'clear', 'protocol', 'investigate', 'workplace', 'misconduct', 'nba', 'require', 'team', 'provide', 'league', 'office', 'quarterly', 'report', 'recommendation', 'set', 'forth', 'report', 'implementation', 'immediately', 'report', 'league', 'office', 'instance', 'allegation', 'significant', 'misconduct', 'employee', 'continually', 'enhance', 'update', 'annual', 'respect', 'workplace', 'training', 'staff', 'include', 'ownership', 'implement', 'program', 'train', 'staff', 'include', 'ownership', 'issue', 'relate', 'domestic', 'violence', 'sexual', 'assault', 'sexual', 'harassment', 'stem', 'sport', 'illustrate', 'story', 'february', 'jon', 'wertheim', 'jessica', 'luther', 'detailed', 'pattern', 'highly', 'inappropriate', 'sexual', 'conduct', 'take', 'place', 'maverick', 'workplace', 'investigation', 'find', 'numerous', 'instance', 'sexual', 'harassment', 'improper', 'workplace', 'conduct', 'go', 'organization', 'initial', 'story', 'si', 'key', 'figure', 'corrosive', 'workplace', 'culture', 'team', 'president', 'ceo', 'terdema', 'ussery', 'mavericks', 'ussery', 'allegedly', 'tell', 'woman', 'gang', 'bang', 'hand', 'woman', 'thigh', 'consent', 'suggestively', 'woman', 'seriously', 'time', 'team', 'employee', 'told', 'friend', 'take', 'job', 'maverick', 'tell', 'watch', 'president', 'trap', 'elevator', 'accord', 'story', 'ussery', 'investigated', 'organization', 'multiple', 'woman', 'complain', 'conduct', 'remain', 'maverick', 'stay', 'president', 'cuban', 'buy', 'team', 'investigation', 'find', 'ussery', 'demonstrated', 'improper', 'conduct', 'woman', 'inappropriate', 'comment', 'touch', 'forcible', 'kiss', 'conclude', 'evidence', 'cuban', 'aware', 'ussery', 'behavior', 'base', 'witness', 'tell', 'cuban', 'misconduct', 'documentary', 'evidence', 'find', 'show', 'cuban', 'knowledgeable', 'go', 'ussery', 'man', 'mention', 'story', 'team', 'reporter', 'earl', 'sneed', 'sneed', 'arrest', 'team', 'facility', 'month', 'domestic', 'violence', 'incident', 'involve', 'girlfriend', 'time', 'police', 'report', 'slap', 'girlfriend', 'face', 'chest', 'sit', 'point', 'go', 'kick', 'as', 'today', 'gon', 'na', 'bad', 'day', 'life', 'sneed', 'involve', 'domestic', 'violence', 'incident', 'allegedly', 'hit', 'fellow', 'team', 'employee', 'relationship', 'employee', 'come', 'work', 'swollen', 'face', 'day', 'report', 'abuse', 'supervisor', 'buddy', 'pittman', 'mavericks', 'head', 'human', 'resource', 'fire', 'initial', 'si', 'story', 'publish', 'sneed', 'suspend', 'time', 'fire', 'day', 'story', 'come', 'investigation', 'corroborate', 'instance', 'domestic', 'violence', 'month', 'si', 'story', 'dallas', 'morning', 'news', 'report', 'senior', 'executive', 'retain', 'job', 'team', 'despite', 'repeatedly', 'view', 'pornography', 'work', 'cuban', 'warn', 'chris', 'hyde', 'co', 'worker', 'call', 'pant', 'dj', 'way', 'rub', 'pant', 'view', 'pornographic', 'image', 'work', 'fire', 'continued', 'view', 'pornography', 'work', 'month', 'stop', 'hyde', 'go', 'previous', 'behavior', 'employee', 'report', 'behavior', 'human', 'resource', 'think', 'hyde', 'action', 'know', 'accepted', 'superior', 'fire', 'inappropriate', 'conduct', 'investigation', 'confirm', 'hyde', 'inappropriate', 'comment', 'woman', 'sexual', 'nature', 'view', 'share', 'pornographic', 'image', 'videos', 'unsolicited', 'unwanted', 'sexual', 'advance', 'violent', 'threaten', 'outburst', 'co', 'worker', 'day', 'initial', 'si', 'story', 'cuban', 'hire', 'cynthia', 'marshall', 'team', 'new', 'interim', 'ceo', 'take', 'marshall', 'work', 'shift', 'team', 'culture', 'move', 'like', 'hire', 'tarsha', 'lacour', 'senior', 'vice', 'president', 'human', 'resource', 'promote', 'female', 'employee', 'executive', 'position', 'create', 'chief', 'ethic', 'compliance', 'officer', 'position', 'fill', 'cynthia', 'wale', 'finding', 'report', 'release', 'marshall', 'hold', 'press', 'conference', 'milgram', 'provide', 'statement', 'answered', 'question', 'report', 'finding', 'milgram', 'note', 'ussery', 'responsible', 'create', 'culture', 'allow', 'misconduct', 'happen', 'milgram', 'mention', 'ussery', 'receive', 'formal', 'complaint', 'behavior', 'complaint', 'employee', 'poor', 'job', 'properly', 'discipline', 'people', 'notify', 'cuban', 'improper', 'action', 'additionally', 'milgram', 'incident', 'ussery', 'fail', 'properly', 'notify', 'cuban', 'workplace', 'transgression', 'multiple', 'incident', 'cuban', 'fail', 'information', 'incident', 'openly', 'turn', 'blind', 'eye', 'incident', 'hop', 'escalate', 'cuban', 'appear', 'espn', 'jump', 'wednesday', 'interview', 'rachel', 'nichols', 'sorry', 'cuban', 'tell', 'nichols', 'sorry', 'recognize', 'know', 'explanation', 'hindsight', 'star', 'right', 'face', 'miss', 'ceo', 'defer', 'mistake', 'read', 'investigative', 'report']",0.19696882367134094,0.4996345341205597,0.3033965826034546
